,ref_index,ref_mz,ref_z,ref_MS1,ref_minMS1,ref_maxMS1,ref_RT,ref_minRT,ref_maxRT,ref_intensity,ref_SNratio,ref_PercentageTF,comp_index,comp_mz,comp_z,comp_MS1,comp_minMS1,comp_maxMS1,comp_RT,comp_minRT,comp_maxRT,comp_intensity,comp_SNratio,comp_PercentageTF
520,376.0,200.02994950000001,0.0,5904.0,5820.0,6093.0,693.68,684.574,714.057,103822.0,27.9,2.5935,393.0,200.02990521939782,0.0,6177.0,6093.0,6387.0,694.6089351889598,714.55,746.297,95370.0,28.9,2.7913
521,1215.0,185.0749017,0.0,9138.0,8970.0,9999.0,1043.7,1025.32,1136.82,102981.0,43.9,9.8081,1031.0,185.07490544991015,0.0,9096.0,8970.0,9999.0,1040.9834584324242,1026.12,1137.35,97113.0,35.4,9.7798
522,720.0,357.0117267,0.0,7143.0,6744.0,7416.0,827.37,784.285,856.735,102901.0,16.9,6.372999999999999,601.0,357.011704658635,0.0,7101.0,6891.0,7437.0,821.7605889931737,800.8589999999999,860.0930000000001,69256.0,16.3,5.2081
523,749.0,179.0728995,0.0,7206.0,7080.0,9999.0,834.13,820.5210000000001,1136.82,102764.0,20.7,27.8231,655.0,179.07290335415098,0.0,7164.0,7080.0,9936.0,832.0240907341223,821.378,1130.72,44984.0,11.8,27.1985
524,188.0,171.9975015,0.0,5484.0,5400.0,5673.0,648.51,639.491,668.8480000000001,102342.0,28.3,2.5824,241.0,171.99753984459568,0.0,5673.0,5526.0,5736.0,644.3760120707927,653.331,675.944,65240.0,16.8,1.9882
525,1083.0,194.9542831,0.0,8739.0,7248.0,9537.0,1000.32,838.6469999999999,1087.14,102322.0,28.4,21.8586,888.0,194.95423931338257,0.0,8697.0,8592.0,9306.0,998.3638911135848,985.165,1062.64,57654.0,16.4,6.8119
526,869.0,371.0096992,0.0,7773.0,7500.0,9999.0,895.19,865.717,1136.82,101769.0,33.1,23.8475,722.0,371.0096706011207,0.0,7689.0,7437.0,9999.0,886.6392124551619,860.0930000000001,1137.35,111073.0,32.2,24.3775
527,1411.0,306.9961776,0.0,9810.0,9747.0,9915.0,1116.62,1109.87,1127.88,101094.0,25.3,1.5842,1241.0,306.99622893373885,0.0,9810.0,9747.0,9873.0,1119.292483558802,1110.48,1123.95,91036.0,21.3,1.1843
528,1435.0,174.9606456,0.0,9873.0,5001.0,9999.0,1123.33,596.7040000000001,1136.82,100486.0,24.7,47.5111,1259.0,174.96064218227406,0.0,9852.0,5001.0,9999.0,1122.9999050697866,596.8330000000001,1137.35,95840.0,23.4,47.5242
529,1025.0,226.03770330000003,0.0,8508.0,8424.0,8613.0,975.27,966.143,986.696,100463.0,37.3,1.8079,855.0,226.0377316676647,0.0,8487.0,8403.0,8571.0,977.1499137617512,964.696,982.9019999999999,146267.0,48.5,1.6007
530,317.0,502.0168535,0.0,5715.0,5652.0,5841.0,673.32,666.575,686.8389999999999,100054.0,16.9,1.7825,356.0,502.01644626427424,0.0,5967.0,5904.0,6009.0,669.5941739243873,694.138,705.425,40302.0,11.6,0.9924
531,461.0,258.0407475,0.0,6324.0,6198.0,6492.0,739.06,725.4010000000001,757.11,99132.0,23.4,2.7893,480.0,258.0408192183062,0.0,6513.0,6366.0,6702.0,742.6264088265128,744.0239999999999,780.4110000000001,125065.0,34.7,3.1993
532,1084.0,170.9097182,0.0,8739.0,8676.0,8823.0,1000.32,993.544,1009.35,98800.0,27.4,1.3904,920.0,170.90975222110524,0.0,8718.0,8676.0,8802.0,1000.3285414169317,994.32,1007.84,71779.0,19.9,1.1887
533,735.0,121.0375716,0.0,7164.0,5001.0,9999.0,829.63,596.7040000000001,1136.82,98457.0,17.2,47.5111,660.0,121.03758285728412,0.0,7206.0,5001.0,9999.0,837.1182736790946,596.8330000000001,1137.35,193356.0,59.1,47.5242
534,1341.0,250.092131,0.0,9663.0,9579.0,9747.0,1100.75,1091.7,1109.87,98453.0,27.7,1.5983,1200.0,250.0921727069904,0.0,9684.0,9579.0,9726.0,1106.8167374756517,1092.33,1108.25,107313.0,27.1,1.3997
535,393.0,189.0027561,0.0,5988.0,5925.0,6114.0,702.68,695.903,716.355,97881.0,29.0,1.7991,402.0,189.00277850980848,0.0,6261.0,6177.0,6303.0,706.7417381742174,723.579,737.2460000000001,56069.0,17.4,1.2017
536,174.0,143.98998390000003,0.0,5463.0,5001.0,9999.0,646.25,596.7040000000001,1136.82,97670.0,28.8,47.5111,313.0,143.98996713749122,0.0,5862.0,5001.0,9978.0,660.3269101832486,596.8330000000001,1135.17,120995.0,37.8,47.3326
537,318.0,367.1842152,0.0,5715.0,5673.0,5778.0,673.32,668.8480000000001,680.0830000000001,97668.0,16.5,0.9883,338.0,367.1839304693863,0.0,5925.0,5883.0,6009.0,665.9643313026996,691.8660000000001,705.425,108379.0,31.4,1.1922
538,1203.0,248.0708668,0.0,9096.0,8928.0,9810.0,1039.1,1020.74,1116.62,97565.0,41.9,8.4341,1033.0,248.07088157401066,0.0,9096.0,8949.0,9789.0,1040.9834584324242,1023.84,1114.98,87847.0,32.1,8.0134
539,554.0,302.0653216,0.0,6765.0,6702.0,6891.0,786.5,779.7280000000001,800.078,97273.0,24.6,1.7901,525.0,302.0652900735675,0.0,6807.0,6744.0,6891.0,779.7465249335645,784.9939999999999,800.8589999999999,72600.0,19.0,1.3949
540,1248.0,286.0235514,0.0,9306.0,9222.0,9474.0,1061.99,1052.81,1080.27,97253.0,38.8,2.4155,1087.0,286.0236507266245,0.0,9306.0,9243.0,9369.0,1063.5072075856951,1055.75,1069.49,35945.0,11.9,1.2081
541,1123.0,444.86239589999997,0.0,8781.0,5064.0,9999.0,1004.83,603.45,1136.82,97023.0,33.8,46.9177,880.0,444.86239774063705,0.0,8655.0,5001.0,9999.0,994.2686621879999,596.8330000000001,1137.35,106043.0,32.3,47.5242
542,1538.0,401.1290563,0.0,9999.0,9810.0,9999.0,1136.82,1116.62,1136.82,96928.0,20.7,1.7769,1358.0,401.12898656041517,0.0,9999.0,9453.0,9999.0,1134.9384661608158,1078.66,1137.35,90792.0,17.7,5.1602
543,218.0,240.0234642,0.0,5547.0,5463.0,5841.0,655.29,646.254,686.8389999999999,96617.0,25.7,3.57,244.0,240.02351373634727,0.0,5673.0,5589.0,5946.0,644.3760120707927,660.1189999999999,698.6439999999999,40480.0,10.4,3.3873
544,90.0,482.9379233,0.0,5085.0,5001.0,5421.0,605.67,596.7040000000001,641.748,96582.0,18.1,3.9623,167.0,482.93785347637794,0.0,5379.0,5253.0,5778.0,610.916208562668,624.062,680.4830000000001,93386.0,26.3,4.9607
545,1436.0,328.9740881,0.0,9873.0,9768.0,9999.0,1123.33,1112.16,1136.82,96560.0,23.7,2.1692,1258.0,328.97413954756786,0.0,9852.0,9768.0,9999.0,1122.9999050697866,1112.75,1137.35,102429.0,25.0,2.1629
546,721.0,164.0173247,0.0,7143.0,7059.0,7269.0,827.37,818.275,840.926,96470.0,15.8,1.9925,656.0,164.01732854441678,0.0,7164.0,7101.0,7248.0,832.0240907341223,823.674,839.595,43279.0,11.3,1.3998
547,431.0,443.9920956,0.0,6198.0,6114.0,6282.0,725.4,716.355,734.512,95579.0,24.0,1.5972,440.0,443.9921959642254,0.0,6387.0,6324.0,6450.0,724.1154981958215,739.4789999999999,753.1289999999999,38650.0,10.9,1.2002
548,1281.0,326.1084249,0.0,9432.0,9327.0,9621.0,1075.68,1064.29,1096.24,95144.0,31.7,2.8105,1108.0,326.1083906369881,0.0,9390.0,9306.0,9768.0,1071.527685940221,1062.64,1112.75,93946.0,31.2,4.4059
549,116.0,227.200494,0.0,5190.0,5001.0,9999.0,616.89,596.7040000000001,1136.82,95091.0,24.7,47.5111,54.0,227.2005353079798,0.0,5043.0,5001.0,9978.0,602.0669766931068,596.8330000000001,1135.17,61944.0,17.4,47.3326
550,1369.0,325.0326239,0.0,9726.0,9663.0,9789.0,1107.58,1100.75,1114.37,94968.0,28.7,1.1981,1206.0,325.0325440373944,0.0,9684.0,9642.0,9789.0,1106.8167374756517,1099.19,1114.98,64758.0,16.3,1.3883
551,621.0,441.0375057,0.0,6954.0,6870.0,7059.0,806.96,797.773,818.275,94495.0,27.5,1.8035,580.0,441.0373960279928,0.0,7017.0,6912.0,7080.0,806.8709233158334,803.1510000000001,821.378,62592.0,18.6,1.6026
552,1539.0,338.0479068,0.0,9999.0,9936.0,9999.0,1136.82,1130.09,1136.82,94390.0,20.1,0.5920000000000001,1355.0,338.0475253290379,0.0,9999.0,9936.0,9999.0,1134.9384661608158,1130.72,1137.35,98829.0,19.2,0.5829
553,543.0,110.0019832,0.0,6723.0,6660.0,7017.0,782.02,775.1519999999999,813.758,94348.0,22.9,3.3960000000000004,545.0,110.00205865417504,0.0,6891.0,6828.0,7206.0,788.0188260026778,794.025,835.0360000000001,47154.0,14.0,3.6058
554,551.0,110.0445006,0.0,6744.0,6660.0,7038.0,784.28,775.1519999999999,816.0039999999999,94255.0,23.3,3.5935,543.0,110.04449435883801,0.0,6891.0,6828.0,7374.0,788.0188260026778,794.025,853.304,59364.0,17.6,5.212000000000001
555,555.0,329.08407650000004,0.0,6765.0,6681.0,6828.0,786.5,777.45,793.322,93863.0,23.8,1.3962,523.0,329.0841839790545,0.0,6807.0,6723.0,6891.0,779.7465249335645,782.71,800.8589999999999,109909.0,28.8,1.5957
556,722.0,337.9839193,0.0,7143.0,7059.0,7290.0,827.37,818.275,843.1610000000001,93854.0,15.4,2.1891,659.0,337.98397580959386,0.0,7185.0,7122.0,7479.0,834.8285592513646,825.966,864.6560000000001,40705.0,12.2,3.4018
557,189.0,243.89825019999998,0.0,5484.0,5421.0,5526.0,648.51,641.748,653.015,93721.0,25.9,0.9911,315.0,243.89825388995095,6.0,5862.0,5820.0,5925.0,660.3269101832486,685.076,696.39,76028.0,23.8,0.9948
558,1486.0,293.8902834,0.0,9957.0,5001.0,9999.0,1132.36,596.7040000000001,1136.82,93716.0,22.3,47.5111,1362.0,293.89026929236377,0.0,9999.0,5001.0,9999.0,1134.9384661608158,596.8330000000001,1137.35,68589.0,13.4,47.5242
559,151.0,157.0490384,0.0,5379.0,5001.0,9999.0,637.24,596.7040000000001,1136.82,93699.0,26.7,47.5111,242.0,157.0490311687807,0.0,5673.0,5001.0,9999.0,644.3760120707927,596.8330000000001,1137.35,48959.0,12.6,47.5242
